time,tip_cam_x,tip_cam_y,tip_cam_z,tip_plane_x,tip_plane_y,tip_plane_z,solder_plane_x,solder_plane_y,solder_plane_z,roll_deg,pitch_deg,yaw_deg,tilt_angle,est_area,touch_tip_board,touch_solder_board,touch_tip_solder,soldering_3way
1764109238.2292035,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109238.3347754,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109238.390915,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109238.4531765,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109238.5172338,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109238.5794053,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109238.641931,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109238.7059326,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109238.769451,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109238.8264556,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.0098042,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.074167,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.1352704,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.1822705,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.2443078,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.2895882,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.3392508,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.402379,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.4738543,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.524861,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.5833666,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.6303716,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.6918805,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.7519298,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.800931,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.8494427,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.9114425,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109239.9759595,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.0339978,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.1090035,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.160514,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.2215173,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.2870276,0,0,0,0,0,0,-0.021530409314490354,-0.009744989072886873,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.3515043,0,0,0,0,0,0,-0.020608608039216835,-0.010904405415200186,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.4115067,0,0,0,0,0,0,-0.02085613152517517,-0.015280593127618675,0.005826622070541132,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.4730203,0,0,0,0,0,0,-0.015170700464235942,-0.01729949678030651,0.0006077588903188325,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.5383537,0,0,0,0,0,0,-0.013808632759556167,-0.014303469152928072,0.0005563966454801839,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.599354,0,0,0,0,0,0,-0.016328050452167602,-0.018534007509292988,0.004531483249412299,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.6568654,0,0,0,0,0,0,-0.01399900813550853,-0.01735231206816304,0.0021099475256838307,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.7208714,0,0,0,0,0,0,-0.013696764326108694,-0.016113747316543414,0.0015189079318747578,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.7870839,0,0,0,0,0,0,-0.013587422386663935,-0.015768881344277064,-0.0005220809823662798,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.8465953,0,0,0,0,0,0,-0.012168860675248788,-0.013642685569850932,0.003389040459680026,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.908597,0,0,0,0,0,0,-0.014130079866762573,-0.011989483063181872,0.0024056460459829787,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109240.9701092,0,0,0,0,0,0,-0.009447829567490422,-0.015444980579860823,-0.0005703969945928533,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.0331118,0,0,0,0,0,0,-0.009758460865738887,-0.013405636680103639,-0.0026607798980948505,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.0893345,0,0,0,0,0,0,-0.01040971694632509,-0.013163034682465602,-0.0018488068840132876,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.1494126,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.2102382,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.2587671,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.3087862,0,0,0,0,0,0,-0.011723976896376465,-0.027885169195707493,0.022555114975787244,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.356299,0,0,0,0,0,0,-0.01055618211001182,-0.022631544841793028,0.015918640797775524,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.4032996,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.451994,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.5120528,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.5594888,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.621882,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.6829443,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.7418542,0,0,0,0,0,0,-0.0006298195115916963,-0.012189971926666265,0.01080481755583343,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.7928545,0,0,0,0,0,0,0.0014537510012595303,-0.007766327181115085,0.007578197465415382,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.852371,0,0,0,0,0,0,-0.0014391101854133968,-0.005053175665792609,0.0036306217306597555,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.8993716,0,0,0,0,0,0,0.002503895952114886,-0.0036621383201879687,0.002489926374291629,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.9468846,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109241.9928846,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109242.0389304,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109242.0859323,0,0,0,0,0,0,-0.002446295730367618,0.016189726177953667,-0.02598342618996108,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109242.1479955,0,0,0,0,0,0,-0.003329271510567486,0.005889496429923868,-0.018292008268416676,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109242.1959965,0,0,0,0,0,0,-0.0026554616541851657,0.00010458280802450037,-0.009174493343437728,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109242.2575135,0,0,0,0,0,0,-0.004052763050536746,-0.002939812192429725,-0.00637556650410584,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109242.307515,0,0,0,0,0,0,-0.0018740021409289383,-0.006113221911510591,-0.0034709888617002194,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109242.3681927,0,0,0,0,0,0,-0.002544604298362261,-0.00836815073511643,-0.002869271813184443,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109242.4307194,0,0,0,0,0,0,-0.001393221700490166,-0.006059676215340537,-0.0020111972759393193,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109242.4938323,0,0,0,0,0,0,-0.0012740357634630356,-0.0029919430132855918,-0.002233126113085293,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109242.554494,0.025617675681648293,0.0028645641392706644,0.40569677152249706,0.03111822072449199,0.04949251043996317,-0.023703147052669515,-0.001596515367104645,-0.008366201398714634,-0.00020337331316852558,91.60725797647659,-16.119945361045847,-175.63284679511906,73.80224119329489,5.357607395356889,False,False,False,False
1764109242.6188564,0.025617675681648293,0.0028645641392706644,0.40569677152249706,0.03111822072449199,0.04949251043996317,-0.023703147052669515,-0.002228616101730769,-0.00569693823492784,-0.00012486551195212137,91.60725797647659,-16.119945361045847,-175.63284679511906,73.80224119329495,5.357607395356871,False,False,False,False
1764109242.683155,0.024946077993880836,0.003416554436488372,0.42878513677684693,0.031208219569691095,0.05698735221367348,-0.02989898777901435,-0.002060994448983529,-0.009980135876618168,-0.0005926447681649238,91.36664689368163,-16.531867959284234,-175.16041783232927,73.41331078836964,5.471743751121548,False,True,False,False
1764109242.742707,0.024946077993880836,0.003416554436488372,0.42878513677684693,0.031262218876810556,0.06148425727789967,-0.033616492214821256,-0.002639626728453,-0.008074550179429762,-0.0003946186717520561,91.22032978134965,-16.778105419314194,-174.8756027738133,73.17884627758829,5.5400643087260875,False,True,False,False
1764109242.8035452,0.024946077993880836,0.003416554436488372,0.42878513677684693,0,0,0,-0.0016286137162898583,-0.01111050704619665,-0.0007506540267561701,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109242.871147,0.022344224448884002,0.008865037921303841,0.4072300430277674,0.02995703032123366,0.05690607062555992,-0.03200267878272232,0.0005104017364018533,-0.009607715948343531,0.0003012901143268909,92.84443893933492,-17.477216931062472,-175.15934811040904,72.29996065767943,5.792822917620729,False,False,False,False
1764109242.9331508,0.022344224448884002,0.008865037921303841,0.4072300430277674,0.029173917187887522,0.054159158634156074,-0.031034390723462958,-0.0001368189484096151,-0.008931061942307528,0.00020675211143411643,93.82380326877647,-17.892947714014632,-175.34010381705386,71.71611450027834,5.9577319408867115,False,False,False,False
1764109242.994544,0.020910584877288745,0.00646122911285785,0.39571398315203565,0.028108568948255468,0.04996933888495436,-0.02613341327848476,-9.674173795117327e-05,-0.009071556635616707,0.000549927164227082,93.33405341203282,-18.338068588845022,-175.122671867026,71.37156996973653,6.053892895357505,False,True,False,False
1764109243.0566714,0.020910584877288745,0.00646122911285785,0.39571398315203565,0,0,0,-0.00011966766386097699,-0.010280978912747152,0.0005233526328973781,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109243.1206954,0.020910584877288745,0.00646122911285785,0.39571398315203565,0,0,0,0.0003018002275811636,-0.010908832899094167,0.0003662547870290078,0.0,0.0,0.0,0.0,0.0,False,False,False,False
1764109243.1806471,0.01905521583188211,-0.00014178094127470162,0.3942055912799777,0.02646141186584952,0.048324093254004864,-0.02021739302992908,0.0014860534934744343,-0.009712711701738486,0.0014786909235854906,93.18266524419002,-20.324144057770177,-174.65635205011424,69.43858849455933,6.576753655762988,False,False,False,False
1764109243.2441761,0.01615274420855694,0.0010240326407514704,0.38338221075124523,0.023971027144125384,0.04339222164458225,-0.01484787372055689,-0.0018118098830869692,-0.011142006267503557,0.00034715594115786175,95.2120331628806,-22.84842784095758,-175.0311685271648,66.59573372213234,7.290705629081177,False,False,False,False
1764109243.3070173,0.01615274420855694,0.0010240326407514704,0.38338221075124523,0.022476796311090903,0.040433098678928685,-0.011626162134933574,-0.0013136094519802192,-0.011013569144796592,0.00024502482960339633,96.457666390193,-24.357202483657563,-175.30667179975643,64.85184293962939,7.693584610555689,False,True,False,False
1764109243.3724427,0.015469585488013447,0.0010660917377504804,0.37711736059264167,0.02172340900999637,0.037124216047281826,-0.007938449794474686,0.0011737953026405776,-0.007555108581833114,0.00030640461495648474,98.0308333545763,-25.822585568697008,-175.56891061330973,63.03951580889719,8.082054563903023,True,True,False,False
1764109243.4350727,0.014468542602458893,0.001873894827851743,0.373196638719199,0.02058941926365844,0.0336309260696479,-0.00429656212580879,-0.001115332231666915,-0.010793034343210828,0.0010839949186025322,99.91849827423738,-27.51580691782971,-176.06233342947965,60.8829951060803,8.502053351264502,True,True,False,False
1764109243.4966285,0.014468542602458893,0.001873894827851743,0.373196638719199,0.01990902541585568,0.031534952083067544,-0.0021114295246092516,-0.00021973141343792878,-0.009252306174063307,0.0007607248781528742,101.07359273904495,-28.524669725067525,-176.39257821994175,59.57049515495606,8.734240674091678,True,True,False,False
1764109243.5601656,0.013876813754486638,0.0031190084899573693,0.37104887772933803,0.019641037440052158,0.029385687167288004,-0.0007155766235495571,-0.0004534775271313046,-0.009996687069009635,0.0002291817241477645,101.69159021807637,-28.785862996264992,-176.67335193600957,59.11975721321042,8.809773446364748,True,True,False,False
1764109243.6227455,0.013177866259552803,0.002714409012814341,0.3760539357286466,0.018563844108146196,0.028645658706142024,0.00047000775303431973,-0.002777351740343926,-0.012640865076330776,0.0031006450542310493,101.62088598195001,-29.479913780926342,-176.658914179044,58.50481641094868,8.909301846893339,True,True,False,False
1764109243.6842046,0.013177866259552803,0.002714409012814341,0.3760539357286466,0.017917528109002618,0.02820164162945444,0.0011813583789846457,-0.0024556190800103413,-0.0108734452264867,0.002172959505708033,101.57813104012511,-29.896346636969547,-176.6497292049679,58.13433506213735,8.967285718763337,True,True,False,False
